,weekday,hour,ADX_14_0060_BTC,ATRr_14_0060_BTC,BBB_5_2.0_0060_BTC,BBL_5_2.0_0060_BTC,BBM_5_2.0_0060_BTC,BBP_5_2.0_0060_BTC,BBU_5_2.0_0060_BTC,DMN_14_0060_BTC,DMP_14_0060_BTC,MACD_12_26_9_0060_BTC,MACDh_12_26_9_0060_BTC,MACDs_12_26_9_0060_BTC,RSI_14_0060_BTC,close_0060_BTC,high_0060_BTC,low_0060_BTC,open_0060_BTC,ADX_14_1440_BTC,ATRr_14_1440_BTC,BBB_5_2.0_1440_BTC,BBL_5_2.0_1440_BTC,BBM_5_2.0_1440_BTC,BBP_5_2.0_1440_BTC,BBU_5_2.0_1440_BTC,DMN_14_1440_BTC,DMP_14_1440_BTC,MACD_12_26_9_1440_BTC,MACDh_12_26_9_1440_BTC,MACDs_12_26_9_1440_BTC,RSI_14_1440_BTC,close_1440_BTC,high_1440_BTC,low_1440_BTC,open_1440_BTC
2020-11-04 05:00:00,2,5,20.69346463926952,134.26701769733515,1.639439282762652,13718.112543379912,13831.491999999998,0.7889324131246295,13944.871456620083,14.55872388398616,21.70187191458484,79.37497498287121,12.394519037300071,66.98045594557114,60.44489739995943,13897.01,13920.99,13828.44,13897.51,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 06:00:00,2,6,20.09159163445321,134.79937357609688,1.6313360822226053,13719.107367521112,13831.929999999998,0.3445790563938453,13944.752632478883,15.68565665967938,20.072154036111847,73.03843452736328,4.846382865433711,68.19205166192957,54.070256717326195,13796.86,13928.26,13786.54,13897.01,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 07:00:00,2,7,19.102300410245928,131.54370403494707,1.6519178668088956,13715.972194553942,13830.204000000002,0.383465030181224,13944.43580544606,16.855569692782222,19.099724597850173,67.77763007330577,-0.3315372708990338,68.1091673442048,54.41762964866767,13803.58,13840.22,13751.0,13796.9,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 08:00:00,2,8,19.331655817117515,143.00486803245087,3.142265167874366,13582.282094991137,13799.084,0.0419228442852462,14015.88590500886,25.685525670073073,16.314045411187458,46.68021769393635,-17.14315972021476,63.82337741415112,43.66720839317669,13600.46,13817.0,13525.0,13803.59,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 09:00:00,2,9,19.54462869492685,141.72023460156154,3.187284380584118,13529.524063605691,13748.628,0.2640434907250541,13967.731936394308,24.067042996243053,15.286073463981133,33.19033371928526,-24.506434955892686,57.69676867517795,46.19048038222205,13645.23,13694.53,13569.51,13600.46,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 10:00:00,2,10,19.714641862531305,135.90736070145002,2.4482393053389653,13532.275852408213,13699.98,0.3622276173142728,13867.684147591788,23.303810197236153,14.92271583290887,22.924352443200405,-27.81793298558204,50.742285428782445,46.681093870312225,13653.77,13696.84,13636.5,13645.22,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 11:00:00,2,11,19.16053751765905,136.8404063656321,2.007276568382785,13541.06686282707,13678.347999999998,0.537703650381926,13815.629137172926,21.491705186273673,16.901017795355372,17.406397284521518,-26.668710515408748,44.075107799930265,48.739762201492134,13688.7,13756.97,13608.0,13653.77,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 12:00:00,2,12,18.646012054563393,133.38466305380132,1.1949639401129903,13580.203028970229,13661.829999999998,0.862380223433907,13743.456971029767,20.473620563707307,16.100398850788736,15.460689997415102,-22.891534242012135,38.35222423942724,50.637164380627674,13720.99,13744.01,13655.55,13688.7,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 13:00:00,2,13,17.545518296527433,134.04361569281554,1.892509363976604,13576.97395553013,13706.674000000005,0.9549188879708056,13836.374044469876,18.91776076096465,20.18431590818906,22.031652208399464,-13.056457624822222,35.08810983322169,56.23887614107541,13824.68,13843.61,13701.0,13721.0,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 14:00:00,2,14,17.00834222976699,132.19264314332867,2.120304390439132,13598.939748893668,13744.654,0.8104569364803397,13890.368251106334,17.812459641086793,21.781805888692062,27.762387248818413,-5.860578067522617,33.62296531634103,56.77129930309339,13835.13,13895.0,13786.87,13824.68,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 15:00:00,2,15,15.97407568697412,130.81316863309084,1.8554343862606824,13654.04096271431,13781.897999999996,0.7271756065729895,13909.755037285684,19.431087395621525,20.439253062939773,32.323591200727606,-1.0394992924907385,33.363090493218344,57.03312178570122,13839.99,13850.0,13737.12,13835.13,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 16:00:00,2,16,15.707114070909958,127.54222801644153,1.7650661290271856,13704.428989450898,13826.452,0.8483687200365769,13948.4750105491,18.505886231119593,23.66633814807164,41.23093228896687,6.294273436598814,34.936658852368055,60.794244783726086,13911.47,13925.0,13839.98,13839.99,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 17:00:00,2,17,16.31134506902119,129.4284974438386,2.161426366907819,13736.976755014372,13887.056,0.9562722847290296,14037.135244985628,16.93359991001946,27.726256165351806,56.71730001007745,17.424512926167516,39.292787083909936,65.86111843311595,14024.01,14035.0,13881.05,13911.47,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 18:00:00,2,18,18.1163132654036,137.04003334070728,2.735700537832394,13745.29156287507,13935.914,0.8490040364786557,14126.53643712493,14.85070478527343,35.99124498493035,71.79069580285613,25.998326975156957,45.79236882769918,67.65934000883594,14068.97,14259.0,14023.01,14024.01,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
2020-11-04 19:00:00,2,19,19.72613582174233,134.6057452449424,2.7235628766201314,13795.768115940646,13986.23,0.7637798121557141,14176.691884059352,14.356123600901148,34.0248363569006,84.1973654889025,30.72399732896266,53.473368159939845,68.36735335066624,14086.71,14120.0,14017.04,14068.97,55.37734717636698,514.7911665897731,5.078844370566249,13388.257034985472,13737.1,0.9105428928286852,14085.942965014528,9.036423455210295,28.254138687411203,672.3799601283772,51.50624599023263,620.8737141381446,75.14966647084684,14023.53,14066.11,13284.99,13549.63
